Entity,Code,Year,population,Continent,GDP per capita,co2
Cayman Islands,CYM,2016,63000,,,
Central African Republic,CAF,2016,4538000,,589,0.065399736
Chad,TCD,2016,14562000,,2189,0.068186014
Channel Islands,OWID_CIS,2016,167000,,,
Chile,CHL,2016,18209000,,21696,4.620942171
China,CHN,2016,1414049024,,12569,6.862901687
Colombia,COL,2016,48175000,,13326,2.010013579
Comoros,COM,2016,796000,,1702,0.253165829
Congo,COG,2016,4981000,,5974,0.637252221
Cook Islands,COK,2016,18000,,,3.460444444
Costa Rica,CRI,2016,4899000,,14098,1.600237224
Cote d'Ivoire,CIV,2016,23823000,,3395,0.330364438
Croatia,HRV,2016,4209000,,20376,4.296158373
Cuba,CUB,2016,11335000,,,2.478631158
Curacao,CUW,2016,161000,,,33.45391304
Cyprus,CYP,2016,1170000,,25577,6.283587514
Czech Republic,CZE,2016,10619000,,28823,10.0385289
Czechoslovakia,OWID_CZS,2016,,,27738,
Democratic Republic of Congo,COD,2016,78789000,,836,0.02533354
Denmark,DNK,2016,5711000,,44836,6.482128811
Djibouti,DJI,2016,929000,,3064,0.645487133
Dominica,DMA,2016,71000,,9550,2.528676056
Dominican Republic,DOM,2016,10398000,,14489,2.372159661
Ecuador,ECU,2016,16491000,,10527,2.458209042
Egypt,EGY,2016,94447000,,11351,2.468804956
El Salvador,SLV,2016,6356000,,8280,1.109578209
Equatorial Guinea,GNQ,2016,1215000,,33317,4.65011358
Eritrea,ERI,2016,3377000,,,0.203971792
Estonia,EST,2016,1317000,,24857,13.27067981
Ethiopia,ETH,2016,103603000,,1635,0.13452755
EU-27,,2016,,,,6.993067315
EU-28,,2016,,,,6.86790076
Europe (excl. EU-27),,2016,,,,8.238984273
Europe (excl. EU-28),,2016,,,,8.855529022
Faeroe Islands,FRO,2016,48000,,,13.12933333
Falkland Islands,FLK,2016,3000,,,
Fiji,FJI,2016,872000,,,2.31509953
Finland,FIN,2016,5498000,,37239,8.592435735
Former USSR,,2016,,,18635,
Former Yugoslavia,,2016,,,15416,
France,FRA,2016,64668000,,37124,5.303326599
French Guiana,GUF,2016,268000,,,
French Polynesia,PYF,2016,275000,,,2.797963636
Gabon,GAB,2016,2008000,,18413,2.635068923
Gambia,GMB,2016,2149000,,1788,0.247221964
Georgia,GEO,2016,4015000,,10899,2.467961789
Germany,DEU,2016,82194000,,44689,9.753203752
Ghana,GHA,2016,28482000,,3878,0.569244402
Gibraltar,GIB,2016,34000,,,
Greece,GRC,2016,10615000,,22574,6.723262272
Greenland,GRL,2016,56000,,,9.094571429
Grenada,GRD,2016,110000,,,2.431563636
Guadeloupe,GLP,2016,400000,,,
Guam,GUM,2016,163000,,,
Guatemala,GTM,2016,16583000,,7221,0.987490613
Guinea,GIN,2016,11738000,,1417,0.233799284
Guinea-Bissau,GNB,2016,1782000,,1436,0.164489338
Guyana,GUY,2016,771000,,,3.03541244
Haiti,HTI,2016,10840000,,1728,0.272435657
Honduras,HND,2016,9271000,,4796,1.037321473
Hong Kong,HKG,2016,7244000,,48330,5.989442187
Hungary,HUN,2016,9753000,,23279,4.863150106
Iceland,ISL,2016,332000,,42085,10.51197023
India,IND,2016,1324516992,,6125,1.790654525
Indonesia,IDN,2016,261556000,,10911,2.143629024
Iran,IRN,2016,79564000,,16783,8.206857952
Iraq,IRQ,2016,36611000,,13898,5.146390708
Ireland,IRL,2016,4696000,,56597,8.495472281
Isle of Man,IMN,2016,83000,,,
Israel,ISR,2016,8109000,,31701,7.878762767
Italy,ITA,2016,60663000,,33419,5.82706538
Jamaica,JAM,2016,2906000,,7084,2.807903551
Japan,JPN,2016,127763000,,37465,9.440649316
Jordan,JOR,2016,9554000,,11529,2.550941604
Kazakhstan,KAZ,2016,17831000,,23842,15.01278019
Kenya,KEN,2016,49052000,,3169,0.349667841
Kiribati,KIR,2016,113000,,,0.583646018
Kuwait,KWT,2016,3957000,,71010,24.7806308
Kyrgyzstan,KGZ,2016,6074000,,4879,1.587135652
Laos,LAO,2016,6846000,,5859,2.558427223
Latvia,LVA,2016,1974000,,22092,3.663792145
Lebanon,LBN,2016,6714000,,12972,3.639600214
Lesotho,LSO,2016,2075000,,2767,1.209561446
Liberia,LBR,2016,4587000,,829,0.296075676
Libya,LBY,2016,6492000,,8096,7.708891579
