Entity,Code,Year,population,Continent,GDP per capita,co2
Kyrgyzstan,KGZ,2016,6074000,asia,4879,1.587135652
Laos,LAO,2016,6846000,asia,5859,2.558427223
Latvia,LVA,2016,1974000,europe,22092,3.663792145
Lebanon,LBN,2016,6714000,asia,12972,3.639600214
Lesotho,LSO,2016,2075000,africa,2767,1.209561446
Liberia,LBR,2016,4587000,africa,829,0.296075676
Libya,LBY,2016,6492000,africa,8096,7.708891579
Liechtenstein,LIE,2016,38000,,,3.918088112
Lithuania,LTU,2016,2890000,europe,24743,4.540191558
Luxembourg,LUX,2016,579000,europe,57006,15.67528745
Macao,MAC,2016,613000,asia,,3.256322612
Macedonia,MKD,2016,2081000,europe,12644,3.385810668
Madagascar,MDG,2016,24894000,africa,1381,0.155670729
Malawi,MWI,2016,17205000,africa,1112,0.073404541
Malaysia,MYS,2016,30685000,asia,23053,8.040489372
Maldives,MDV,2016,476000,asia,,3.032806723
Mali,MLI,2016,17965000,africa,1594,0.172925329
Malta,MLT,2016,436000,europe,29817,3.241643711
Marshall Islands,MHL,2016,58000,oceania,,2.463724138
Martinique,MTQ,2016,377000,north america,,
Mauritania,MRT,2016,4164000,africa,3407,0.551711816
Mauritius,MUS,2016,1262000,africa,18918,3.443347068
Mayotte,MYT,2016,246000,,,
Mexico,MEX,2016,123333000,north america,16133,3.93588166
Micronesia (country),FSM,2016,110000,oceania,,
Moldova,MDA,2016,4066000,europe,6068,1.204178301
Monaco,MCO,2016,38000,europe,,
Mongolia,MNG,2016,3056000,asia,12360,8.28662975
Montenegro,MNE,2016,627000,europe,17741,3.214035088
Montserrat,MSR,2016,5000,north america,,5.8624
Morocco,MAR,2016,35126000,africa,8039,1.737502589
Mozambique,MOZ,2016,27830000,africa,1113,0.27761303
Myanmar,MMR,2016,53045000,asia,5284,0.470465124
Namibia,NAM,2016,2358000,africa,9376,1.778280206
Nauru,NRU,2016,10000,oceania,,4.7632
Nepal,NPL,2016,27263000,asia,2435,0.324289993
Netherlands,NLD,2016,16981000,europe,45600,9.79842192
New Caledonia,NCL,2016,274000,oceania,,19.38604952
New Zealand,NZL,2016,4659000,oceania,34295,7.353505478
Nicaragua,NIC,2016,6304000,north america,5045,0.874098045
Niger,NER,2016,20789000,africa,925,0.096661477
Nigeria,NGA,2016,185960000,africa,5360,0.633644401
Niue,NIU,2016,2000,oceania,,3.664
North America (excl. USA),,2016,,,,4.990140399
North Korea,PRK,2016,25308000,asia,,1.085294033
Northern Mariana Islands,MNP,2016,56000,,,
Norway,NOR,2016,5251000,europe,82814,8.467435406
Oman,OMN,2016,4479000,asia,38515,13.98977787
Pakistan,PAK,2016,203631008,asia,5223,0.965786859
Palau,PLW,2016,18000,oceania,,12.41688889
Palestine,PSE,2016,4636000,asia,,0.69707679
Panama,PAN,2016,4037000,north america,21449,2.591766341
Papua New Guinea,PNG,2016,8272000,oceania,,0.898282398
Paraguay,PRY,2016,6778000,south america,8786,1.055437513
Peru,PER,2016,30926000,south america,11776,1.821034093
Philippines,PHL,2016,103664000,asia,7410,1.150816879
Poland,POL,2016,37989000,europe,24838,8.503786983
Portugal,PRT,2016,10326000,europe,25346,4.878471594
Puerto Rico,PRI,2016,3283000,north america,35082,
Qatar,QAT,2016,2654000,asia,156299,38.51005261
Reunion,REU,2016,870000,,,
Romania,ROU,2016,19796000,europe,17782,3.828933283
Russia,RUS,2016,145275008,asia,23635,11.13510706
Rwanda,RWA,2016,11669000,africa,1758,0.089714629
Saint Barthlemy,,2016,10000,,,
Saint Helena,SHN,2016,6000,,,1.832
Saint Kitts and Nevis,KNA,2016,52000,,,4.58
Saint Lucia,LCA,2016,180000,north america,10233,2.300177778
Saint Martin (French part),MAF,2016,36000,,,
Saint Pierre and Miquelon,SPM,2016,6000,north america,,12.824
Saint Vincent and the Grenadines,VCT,2016,109000,north america,,2.016880734
Samoa,WSM,2016,195000,oceania,,1.258912821
San Marino,SMR,2016,34000,,,
Sao Tome and Principe,STP,2016,203000,africa,3624,0.595625616
Saudi Arabia,SAU,2016,32443000,asia,51397,19.46642439
Senegal,SEN,2016,14994000,africa,2403,0.692471812
Serbia,SRB,2016,8854000,europe,13184,5.086475943
Seychelles,SYC,2016,96000,africa,26624,6.2975
Sierra Leone,SLE,2016,7329000,africa,1619,0.126982672
Singapore,SGP,2016,5654000,asia,65729,6.633304563
Sint Maarten (Dutch part),SXM,2016,41000,north america,,18.58809756
Slovakia,SVK,2016,5442000,europe,25364,6.411888519
Slovenia,SVN,2016,2074000,europe,26908,6.949701376
Solomon Islands,SLB,2016,619000,oceania,,0.27228433
Somalia,SOM,2016,14186000,africa,,0.045457775
South Africa,ZAF,2016,56208000,africa,12139,8.450418019
South America,,2016,,,,2.727588532
South Korea,KOR,2016,50983000,asia,36103,12.12090456
South Sudan,SSD,2016,10833000,africa,,0.159304348
Spain,ESP,2016,46634000,europe,30110,5.581528834
Sri Lanka,LKA,2016,21021000,asia,11149,1.095494709
Sudan,SDN,2016,39847000,africa,3651,0.490338073
Suriname,SUR,2016,565000,south america,,3.046740664
Swaziland,SWZ,2016,1114000,africa,7881,1.036050269
Sweden,SWE,2016,9836000,europe,44659,4.329248879
Switzerland,CHE,2016,8380000,europe,59662,4.676198879
Syria,SYR,2016,17466000,asia,3091,1.632213789
Taiwan,TWN,2016,23618000,asia,42165,11.23227063
Tajikistan,TJK,2016,8664000,asia,3991,0.595415408
Tanzania,TZA,2016,53049000,asia,2660,0.218823247
Thailand,THA,2016,68971000,asia,15454,4.065057037
Timor,TLS,2016,1219000,asia,,0.405775226
Togo,TGO,2016,7510000,africa,1400,0.407966977
Tokelau,TKL,2016,1000,,,
Tonga,TON,2016,101000,oceania,,1.26970297
Trinidad and Tobago,TTO,2016,1378000,south america,29178,31.75087479
Tunisia,TUN,2016,11304000,africa,11073,2.566183913
Turkey,TUR,2016,79828000,europe,17906,5.02630328
Turkmenistan,TKM,2016,5662000,asia,23813,12.39205781
Turks and Caicos Islands,TCA,2016,37000,north america,,5.842594595
Tuvalu,TUV,2016,11000,oceania,,0.999272727
Uganda,UGA,2016,39649000,africa,1980,0.136176772
Ukraine,UKR,2016,44714000,europe,9214,5.237816977
